DATE,CPIAUCSL,INDPRO,DGS3MO,WTISPLC_PCH,USD3MTD156N,HOUST_PCH,UNRATE,BAMLC0A4CBBBEY,BAMLC0A1CAAAEY,DGS10,THREEFFTP10_PCH,DGS5,DGS2,DGS1,DGS1MO
2014-06-01,237.231,102.5722,0.035714286,1.05485,0.230945238,-9.78495,6.1,3.468095238,2.572380952,2.598571429,109.75116,1.679047619,0.452380952,0.104761905,0.024285714
2014-07-01,237.498,102.8479,0.026363636,9.25887,0.234173913,4.88677,6.2,3.459130435,2.548695652,2.542272727,42.56647,1.699545455,0.506363636,0.111363636,0.024090909
2014-08-01,237.46,102.6491,0.032857143,1.81523,0.23465,4.20455,6.1,3.441363636,2.485454545,2.42,17.26803,1.631428571,0.472380952,0.107142857,0.03
2014-09-01,237.477,102.9858,0.02,-0.26274,0.234031818,-7.30643,5.9,3.537727273,2.588636364,2.534285714,4.54731,1.773809524,0.566666667,0.10952381,0.011428571
2014-10-01,237.43,102.9911,0.016818182,-5.40973,0.231376087,8.82353,5.7,3.498695652,2.525217391,2.304090909,-14.5641,1.545909091,0.445454545,0.104545455,0.020909091
2014-11-01,236.983,103.6669,0.021666667,-6.64412,0.2328625,18.91892,5.8,3.628095238,2.563333333,2.325555556,9.06527,1.620555556,0.527222222,0.134444444,0.041666667
2014-12-01,236.252,103.6139,0.029090909,4.01662,0.244607143,-8.90909,5.6,3.784545455,2.511363636,2.207272727,16.56573,1.64,0.635454545,0.214545455,0.025
2015-01-01,234.747,102.8479,0.0275,-3.08307,0.254319048,-11.37725,5.7,3.642380952,2.258571429,1.8815,-1.91664,1.3745,0.5515,0.1955,0.018
2015-02-01,235.342,102.2292,0.017894737,6.55253,0.25842,6.30631,5.5,3.651428571,2.331904762,1.975263158,-10.87705,1.472631579,0.618947368,0.224210526,0.017894737
2015-03-01,235.976,101.8945,0.027727273,-0.01984,0.268297727,2.75424,5.4,3.564090909,2.523181818,2.042727273,0.44039,1.519090909,0.640454545,0.253636364,0.022727273
2015-04-01,236.222,101.2859,0.023181818,1.25992,0.27596,7.52577,5.4,3.412857143,2.396190476,1.935,-0.86218,1.354545455,0.54,0.233636364,0.018181818
